context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
is there a *VEHICLE connection,1,"inform(vehicle=""*VEHICLE"")","inform_no_match(vehicle=""*VEHICLE"")",I'm sorry I cannot find a *VEHICLE connection.,"I'm sorry, I could not find a *VEHICLE connection.",I'm sorry there is no *VEHICLE connection.,is there a subway connection,"inform(vehicle=""subway"")","inform_no_match(vehicle=""subway"")",I'm sorry I cannot find a subway connection.,"I'm sorry, I could not find a subway connection.",I'm sorry there is no subway connection.
transit itinerary from *STOP,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",Transit itinerary from *FROM_STOP.,You need the transit itinerary from *FROM_STOP.,You want to go from *FROM_STOP.,transit itinerary from Grand Central,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Grand Central"")",Transit itinerary from Grand Central.,You need the transit itinerary from Grand Central.,You want to go from Grand Central.
is there a schedule at *NUMBER o'clock *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")",There is a *VEHICLE from *FROM_STOP at *DEPARTURE_TIME on *LINE to *DIRECTION.,"There is a connection at *DEPARTURE_TIME, *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.",You can go directly by *VEHICLE from *FROM_STOP to *DIRECTION on line *LINE at *DEPARTURE_TIME.,is there a schedule at seven o'clock am,"inform(departure_time=""7:00"")&inform(ampm=""*AMPM"")","inform(vehicle=""subway"")&inform(from_stop=""Bowery"")&inform(departure_time=""7:11am"")&inform(line=""Q"")&inform(direction=""Canal Street"")",There is a subway from Bowery at 7:11am on Q to Canal Street.,"There is a connection at 7:11am, subway line Q from Bowery direction Canal Street.",You can go directly by subway from Bowery to Canal Street on line Q at 7:11am.
yes i want to depart from *STOP yes,1,"confirm(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")",I'm sorry there is no connection from *FROM_STOP.,No routes found from *FROM_STOP.,"I'm sorry, I could not find a connection from *FROM_STOP.",yes i want to depart from Penn Station yes,"confirm(from_stop=""*STOP"")","inform_no_match(from_stop=""Penn Station"")",I'm sorry there is no connection from Penn Station.,No routes found from Penn Station.,"I'm sorry, I could not find a connection from Penn Station."
*STOP to *STOP,12,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",*FROM_STOP to *TO_STOP is not found.,Sorry a service from *FROM_STOP to *TO_STOP is not found.,I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,Canal Street to Times Square,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Canal Street"")&inform_no_match(to_stop=""Times Square"")",Canal Street to Times Square is not found.,Sorry a service from Canal Street to Times Square is not found.,I'm sorry there is no connection from Canal Street to Times Square.
i want to find a connection from *STOP man,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)",From *FROM_STOP to where?,From *FROM_STOP to where?,"From *FROM_STOP, to what direction?",i want to find a connection from Washington Square man,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Washington Square"")&request(to_stop)",From Washington Square to where?,From Washington Square to where?,"From Washington Square, to what direction?"
yes i'd like to travel from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")",From *FROM_STOP to *TO_STOP.,From *FROM_STOP to *TO_STOP.,From *FROM_STOP to *TO_STOP.,yes i'd like to travel from Washington Square to Fulton Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""Washington Square"")&iconfirm(to_stop=""Fulton Street"")",From Washington Square to Fulton Street.,From Washington Square to Fulton Street.,From Washington Square to Fulton Street.
i want to travel from *STOP,1,"inform(from_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")",At *DEPARTURE_TIME take the *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.,Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You can take the *DEPARTURE_TIME *VEHICLE on the line *LINE from *FROM_STOP to *DIRECTION.,i want to travel from Herald Square,"inform(from_stop=""*STOP"")","inform(vehicle=""subway"")&inform(departure_time=""10:11pm"")&inform(line=""A"")&inform(direction=""Lincoln Center"")&inform(from_stop=""Herald Square"")",At 10:11pm take the subway line A from Herald Square direction Lincoln Center.,Take line A subway at 10:11pm from Herald Square direction Lincoln Center.,You can take the 10:11pm subway on the line A from Herald Square to Lincoln Center.
yes i am still here can we take the *VEHICLE ,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")",You want to travel by *VEHICLE.,You want to know if you can take the *VEHICLE.,You want to know if you can take the *VEHICLE.,yes i am still here can we take the bus ,"inform(vehicle=""bus"")","iconfirm(vehicle=""bus"")",You want to travel by bus.,You want to know if you can take the bus.,You want to know if you can take the bus.
from *STOP ,1,"inform(from_stop=""*STOP"")",request(to_stop),"Yes, but where to go?",To what direction?,Where are you going to?,from Fulton Street ,"inform(from_stop=""*STOP"")",request(to_stop),"Yes, but where to go?",To what direction?,Where are you going to?
instead of going to *STOP i'd like to g-,1,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,From where please?,From which stop sir?,instead of going to Essex Street i'd like to g-,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,From where please?,From which stop sir?
ok how long would the trip be,1,request(duration)&request(distance),"inform(distance=""*DISTANCE"")&inform(duration=""*DURATION"")",The trip will take *DURATION with *DISTANCE.,The trip will be *DISTANCE and will take *DURATION.,"The trip is *DISTANCE long, taking *DURATION.",ok how long would the trip be,request(duration)&request(distance),"inform(distance=""9.6 miles"")&inform(duration=""21 minutes"")",The trip will take 21 minutes with 9.6 miles.,The trip will be 9.6 miles and will take 21 minutes.,"The trip is 9.6 miles long, taking 21 minutes."
can i get information about a connection at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")",You want information about the *DEPARTURE_TIME *AMPM route.,You need a connection at *DEPARTURE_TIME *AMPM.,You want to go at *DEPARTURE_TIME *AMPM.,can i get information about a connection at seven am,"inform(departure_time=""7:00"")&inform(ampm=""am"")","iconfirm(departure_time=""7:00"")&iconfirm(ampm=""am"")",You want information about the 7:00 morning route.,You need a connection at 7:00 am.,You want to go at 7:00 am.
*STOP to bleeker street,1,"inform(from_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")",To travel from *FROM_STOP to *DIRECTION take the *LINE *VEHICLE at *DEPARTURE_TIME.,There is a *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Line *LINE *VEHICLE leaves at *DEPARTURE_TIME from *FROM_STOP in the direction of *DIRECTION.,Marble Hill to bleeker street,"inform(from_stop=""*STOP"")","inform(direction=""Dyckman Street"")&inform(vehicle=""bus"")&inform(line=""M66"")&inform(from_stop=""Marble Hill"")&inform(departure_time=""1:05pm"")",To travel from Marble Hill to Dyckman Street take the M66 bus at 1:05pm.,There is a bus line M66 from Marble Hill to Dyckman Street at 1:05pm.,Line M66 bus leaves at 1:05pm from Marble Hill in the direction of Dyckman Street.
no i want a *VEHICLE option,1,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),What station are you coming from and to what direction?,Where are you leaving from and going to?,Where are you traveling from and where are you traveling to?,no i want a subway option,"inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),What station are you coming from and to what direction?,Where are you leaving from and going to?,Where are you traveling from and where are you traveling to?
*VEHICLE connection,1,"inform(vehicle=""*VEHICLE"")","iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)","By *VEHICLE, from what station and to what direction?","You want a *VEHICLE connection. Where are you traveling from, and where is your destination?","Take the *VEHICLE from where to where, sir?",subway connection,"inform(vehicle=""subway"")","iconfirm(vehicle=""subway"")&request(from_stop)&request(to_stop)","By subway, from what station and to what direction?","You want a subway connection. Where are you traveling from, and where is your destination?","Take the subway from where to where, sir?"
i need to know how to start from *STOP and get to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")",Take the *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,Take *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION at *DEPARTURE_TIME.,"From *FROM_STOP, take the *LINE *VEHICLE for *DIRECTION, departing at *DEPARTURE_TIME.",i need to know how to start from Rector Street and get to Canal Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(direction=""Canal Street"")&inform(line=""M79"")&inform(vehicle=""bus"")&inform(from_stop=""Rector Street"")&inform(departure_time=""9:05pm"")",Take the bus M79 at 9:05pm from Rector Street direction Canal Street.,Take bus line M79 from Rector Street direction Canal Street at 9:05pm.,"From Rector Street, take the M79 bus for Canal Street, departing at 9:05pm."
i want to leave at *NUMBER *AMPM by *VEHICLE,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")",You want to leave at *DEPARTURE_TIME *AMPM by *VEHICLE.,You want to leave at *DEPARTURE_TIME *AMPM by *VEHICLE.,I'll check for a *DEPARTURE_TIME *AMPM *VEHICLE route.,i want to leave at eleven am by bus,"inform(departure_time=""11:00"")&inform(ampm=""am"")&inform(vehicle=""bus"")","iconfirm(departure_time=""11:00"")&iconfirm(ampm=""am"")&iconfirm(vehicle=""bus"")",You want to leave at 11:00 am by bus.,You want to leave at 11:00 am by bus.,I'll check for a 11:00 am bus route.
is there an alternative at *NUMBER in the *AMPM,2,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")",I'm sorry there is no connection at *DEPARTURE_TIME *AMPM.,Sorry sir but I could not find any alternative at *DEPARTURE_TIME *AMPM.,Sorry I did not find any alternative at *DEPARTURE_TIME *AMPM.,is there an alternative at four in the afternoon,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","inform_no_match(departure_time=""4:00"")&inform_no_match(ampm=""pm"")",I'm sorry there is no connection at 4:00 pm.,Sorry sir but I could not find any alternative at 4:00 pm.,Sorry I did not find any alternative at 4:00 pm.
yes i'm looking for transportation from *STOP to,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",From *FROM_STOP.,You would like transportation from *FROM_STOP.,Take it from *FROM_STOP.,yes i'm looking for transportation from Roosevelt Island to,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Roosevelt Island"")",From Roosevelt Island.,You would like transportation from Roosevelt Island.,Take it from Roosevelt Island.
there a *NUMBER o'clock schedule,1,"inform(departure_time=""*DEPARTURE_TIME"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")",You can take the *LINE line of the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,"At *DEPARTURE_TIME, take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.",there a seven o'clock schedule,"inform(departure_time=""7:00"")","inform(direction=""Essex Street"")&inform(from_stop=""Marble Hill"")&inform(line=""L"")&inform(departure_time=""7:02pm"")&inform(vehicle=""subway"")",You can take the L line of the subway from Marble Hill to Essex Street at 7:02pm.,Take the L subway from Marble Hill to Essex Street at 7:02pm.,"At 7:02pm, take subway line L from Marble Hill to Essex Street."
i need to find out the connection in *NUMBER minutes,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","iconfirm(departure_time_rel=""*DEPARTURE_TIME_REL"")","Alright, you want *DEPARTURE_TIME_REL.",I understand you need a connection in *DEPARTURE_TIME_REL.,"You need a connection in *DEPARTURE_TIME_REL, sir.",i need to find out the connection in fifteen minutes,"inform(departure_time_rel=""0:15"")","iconfirm(departure_time_rel=""0:15"")","Alright, you want 0:15.",I understand you need a connection in 0:15.,"You need a connection in 0:15, sir."
how long is it,1,request(distance),"inform(distance=""*DISTANCE"")",It will be *DISTANCE.,It is *DISTANCE.,It's a *DISTANCE long.,how long is it,request(distance),"inform(distance=""6.5 miles"")",It will be 6.5 miles.,It is 6.5 miles.,It's a 6.5 miles long.
is there an alternate time later,1,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")",I'm sorry there is no connection later.,I cannot find a time later.,I did not find the next alternative.,is there an alternate time later,"inform(alternative=""next"")","inform_no_match(alternative=""next"")",I'm sorry there is no connection later.,I cannot find a time later.,I did not find the next alternative.
i need a *VEHICLE connection from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")","inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")",A *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Take *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,i need a bus connection from Grand Street to Marble Hill,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""bus"")","inform(line=""M8"")&inform(departure_time=""9:08pm"")&inform(vehicle=""bus"")&inform(direction=""Marble Hill"")&inform(from_stop=""Grand Street"")",A bus line M8 at 9:08pm from Grand Street to Marble Hill.,There is a bus at 9:08pm going from Grand Street to Marble Hill using line M8.,Take bus line M8 at 9:08pm from Grand Street to Marble Hill.
yes i'd like details on a trip from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",I apologize but such a route not found from *FROM_STOP to *TO_STOP.,Not found from *FROM_STOP to *TO_STOP.,I'm sorry there is no connection from *FROM_STOP to *TO_STOP.,yes i'd like details on a trip from Rector Street to Union Square,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Rector Street"")&inform_no_match(to_stop=""Union Square"")",I apologize but such a route not found from Rector Street to Union Square.,Not found from Rector Street to Union Square.,I'm sorry there is no connection from Rector Street to Union Square.
is there a connection at *NUMBER in the *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")",A connection at *DEPARTURE_TIME *AMPM.,"You need a connection at *DEPARTURE_TIME *AMPM, sir.",At *DEPARTURE_TIME *AMPM.,is there a connection at eight in the evening,"inform(departure_time=""8:00"")&inform(ampm=""pm"")","iconfirm(departure_time=""8:00"")&iconfirm(ampm=""pm"")",A connection at 8:00 pm.,"You need a connection at 8:00 pm, sir.",At 8:00 pm.
change to *STOP,1,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")","OK, destination changed to *TO_STOP.",You wish to change to *TO_STOP.,Going to *TO_STOP.,change to Port Authority Bus Terminal,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Port Authority Bus Terminal"")","OK, destination changed to Port Authority Bus Terminal.",You wish to change to Port Authority Bus Terminal.,Going to Port Authority Bus Terminal.
an alternative at *NUMBER *AMPM by *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")","At *DEPARTURE_TIME, take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.","Yes, the *DEPARTURE_TIME *VEHICLE, line *LINE, can take you from *FROM_STOP to *DIRECTION.","You could take the line *LINE of the *VEHICLE at *DEPARTURE_TIME, from *FROM_STOP to *DIRECTION.",an alternative at eleven am by subway,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""subway"")","inform(vehicle=""subway"")&inform(from_stop=""Marble Hill"")&inform(direction=""Grand Street"")&inform(line=""1"")&inform(departure_time=""11:18am"")","At 11:18am, take subway line 1 from Marble Hill to Grand Street.","Yes, the 11:18am subway, line 1, can take you from Marble Hill to Grand Street.","You could take the line 1 of the subway at 11:18am, from Marble Hill to Grand Street."
i want to find a connection from *STOP,1,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")",Sorry connection from *FROM_STOP not found.,I'm sorry I cannot find a connection from *FROM_STOP.,"Apologies, a connection from *FROM_STOP is not found.",i want to find a connection from Franklin Street,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""Franklin Street"")",Sorry connection from Franklin Street not found.,I'm sorry I cannot find a connection from Franklin Street.,"Apologies, a connection from Franklin Street is not found."
is there a connection in *NUMBER an hour,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","iconfirm(departure_time_rel=""*DEPARTURE_TIME_REL"")","Yes, in *DEPARTURE_TIME_REL.","OK, you want a connection in *DEPARTURE_TIME_REL minutes.",In *DEPARTURE_TIME_REL minutes.,is there a connection in half an hour,"inform(departure_time_rel=""0:30"")","iconfirm(departure_time_rel=""0:30"")","Yes, in 0:30.","OK, you want a connection in 30 minutes.",In 30 minutes.
depart in *NUMBER minutes,1,"inform(departure_time_rel=""*TIME_REL"")","inform_no_match(departure_time_rel=""*DEPARTURE_TIME_REL"")",I'm sorry there is no connection in *DEPARTURE_TIME_REL.,"I'm sorry, a departure in *DEPARTURE_TIME_REL minutes cannot be found.",I did not find a departure in *DEPARTURE_TIME_REL minutes.,depart in fifteen minutes,"inform(departure_time_rel=""*TIME_REL"")","inform_no_match(departure_time_rel=""0:15"")",I'm sorry there is no connection in 0:15.,"I'm sorry, a departure in 15 minutes cannot be found.",I did not find a departure in 15 minutes.
i would like to depart from *STOP and go to *STOP,1,"confirm(from_stop=""*STOP"")&confirm(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")","Sorry, transport from *FROM_STOP to *TO_STOP was not found.","I'm sorry, but I could not find you a route from *FROM_STOP to *TO_STOP.",I'm sorry I cannot find any connections from *FROM_STOP to *TO_STOP.,i would like to depart from Park Place and go to Penn Station,"confirm(from_stop=""*STOP"")&confirm(to_stop=""*STOP"")","inform_no_match(from_stop=""Park Place"")&inform_no_match(to_stop=""Penn Station"")","Sorry, transport from Park Place to Penn Station was not found.","I'm sorry, but I could not find you a route from Park Place to Penn Station.",I'm sorry I cannot find any connections from Park Place to Penn Station.
connection in *NUMBER an hour,2,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","inform_no_match(departure_time_rel=""*DEPARTURE_TIME_REL"")",No route found in *DEPARTURE_TIME_REL.,"I'm sorry, a connection in *DEPARTURE_TIME_REL minutes is not found.","I'm sorry, I could not find you a connection in *DEPARTURE_TIME_REL minutes.",connection in half an hour,"inform(departure_time_rel=""0:30"")","inform_no_match(departure_time_rel=""0:30"")",No route found in 0:30.,"I'm sorry, a connection in 30 minutes is not found.","I'm sorry, I could not find you a connection in 30 minutes."
yes i would like to ride from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")",You want to travel from *FROM_STOP to *TO_STOP.,"OK, so you want to go to *TO_STOP from *FROM_STOP.",I understand that you want to go to *TO_STOP from *FROM_STOP.,yes i would like to ride from Washington Square to Bryant Park,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""Washington Square"")&iconfirm(to_stop=""Bryant Park"")",You want to travel from Washington Square to Bryant Park.,"OK, so you want to go to Bryant Park from Washington Square.",I understand that you want to go to Bryant Park from Washington Square.
from *STOP t-,1,"inform(from_stop=""*STOP"")",request(to_stop),Can you please confirm to where?,What station are you going to?,Where do you want to go to?,from Union Square t-,"inform(from_stop=""*STOP"")",request(to_stop),Can you please confirm to where?,What station are you going to?,Where do you want to go to?
how to travel from *STOP,1,"inform(from_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")",Just take the *VEHICLE in the line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,Use line *LINE of the *VEHICLE to travel from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,how to travel from Prince Street,"inform(from_stop=""*STOP"")","inform(direction=""Bowery"")&inform(vehicle=""subway"")&inform(from_stop=""Prince Street"")&inform(departure_time=""3:02pm"")&inform(line=""R"")",Just take the subway in the line R at 3:02pm from Prince Street to Bowery.,Use line R of the subway to travel from Prince Street to Bowery at 3:02pm.,Take the subway R at 3:02pm from Prince Street direction Bowery.
to *STOP,2,"inform(to_stop=""*STOP"")","inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.,There is a *VEHICLE at *DEPARTURE_TIME going from *FROM_STOP to *DIRECTION using line *LINE.,Please use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,to Columbia University,"inform(to_stop=""*STOP"")","inform(from_stop=""Essex Street"")&inform(direction=""Columbia University"")&inform(departure_time=""3:08pm"")&inform(line=""M79"")&inform(vehicle=""bus"")",At 3:08pm by bus line M79 from Essex Street direction Columbia University.,There is a bus at 3:08pm going from Essex Street to Columbia University using line M79.,Please use bus M79 at 3:08pm from Essex Street to Columbia University.
ok and i need to find out the connection in a *NUMBER an hour,1,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")","inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")",On *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,You can take the *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,"At *DEPARTURE_TIME by *VEHICLE line *LINE, from *FROM_STOP to *DIRECTION.",ok and i need to find out the connection in a half an hour,"inform(departure_time_rel=""0:30_REL"")","inform(vehicle=""subway"")&inform(direction=""Houston Street"")&inform(departure_time=""10:02am"")&inform(from_stop=""Delancey Street"")&inform(line=""G"")",On G subway at 10:02am from Delancey Street to Houston Street.,You can take the subway line G from Delancey Street to Houston Street at 10:02am.,"At 10:02am by subway line G, from Delancey Street to Houston Street."
starting from *STOP,1,"inform(from_stop=""*STOP"")",request(to_stop),Where are you going to?,Please tell me where you wish to go to.,Where would you like to go?,starting from Park Place,"inform(from_stop=""*STOP"")",request(to_stop),Where are you going to?,Please tell me where you wish to go to.,Where would you like to go?
how do i get from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&iconfirm(to_stop=""*TO_STOP"")","OK, so you want to go to *TO_STOP from *FROM_STOP.",I understand that you want to go from *FROM_STOP to *TO_STOP.,You want *FROM_STOP to *TO_STOP.,how do i get from Broad Street to Delancey Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","iconfirm(from_stop=""Broad Street"")&iconfirm(to_stop=""Delancey Street"")","OK, so you want to go to Delancey Street from Broad Street.",I understand that you want to go from Broad Street to Delancey Street.,You want Broad Street to Delancey Street.
can i get a schedule at *NUMBER *AMPM,1,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")","inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")",Take *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,From *FROM_STOP *VEHICLE to *DIRECTION at line *LINE on *DEPARTURE_TIME.,Use *VEHICLE line *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,can i get a schedule at twelve pm,"inform(departure_time=""12:00"")&inform(ampm=""*AMPM"")","inform(direction=""Lincoln Center"")&inform(vehicle=""subway"")&inform(line=""G"")&inform(departure_time=""12:03pm"")&inform(from_stop=""Penn Station"")",Take subway G at 12:03pm from Penn Station to Lincoln Center.,From Penn Station subway to Lincoln Center at line G on 12:03pm.,Use subway line G at 12:03pm from Penn Station to Lincoln Center.
yes i would like to go from *STOP to *STOP,2,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",Sorry a service from *FROM_STOP to *TO_STOP is not found.,Not found from *FROM_STOP to *TO_STOP.,No connections found from *FROM_STOP to *TO_STOP.,yes i would like to go from Bowery to Cortlandt Street,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Bowery"")&inform_no_match(to_stop=""Cortlandt Street"")",Sorry a service from Bowery to Cortlandt Street is not found.,Not found from Bowery to Cortlandt Street.,No connections found from Bowery to Cortlandt Street.
and how long will it take to get there,1,request(duration),"inform(duration=""*DURATION"")",It will take *DURATION.,It will take *DURATION.,It will take *DURATION.,and how long will it take to get there,request(duration),"inform(duration=""24 minutes"")",It will take 24 minutes.,It will take 24 minutes.,It will take 24 minutes.
is there an alternative later time,1,"inform(alternative=""next"")","inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")","At *DEPARTURE_TIME, by *VEHICLE line *LINE from *FROM_STOP direction *DIRECTION.",Take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,"Yes, you can leave at *DEPARTURE_TIME if you take *VEHICLE *LINE from *FROM_STOP to *DIRECTION.",is there an alternative later time,"inform(alternative=""next"")","inform(from_stop=""Park Place"")&inform(vehicle=""bus"")&inform(line=""M72"")&inform(direction=""Prince Street"")&inform(departure_time=""4:13pm"")","At 4:13pm, by bus line M72 from Park Place direction Prince Street.",Take the M72 bus from Park Place to Prince Street at 4:13pm.,"Yes, you can leave at 4:13pm if you take bus M72 from Park Place to Prince Street."
