Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
fulton street manhattan	*STREET *BOROUGH	inform(street="Fulton St")&inform(borough="Manhattan")	inform(street="*STREET")&inform(borough="*BOROUGH")
what is the duration	what is the duration	request(duration)	request(duration)
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
weather forecast for columbus ohio	weather forecast for *CITY *CITY	inform(in_city="Columbus")&inform(state="Ohio")&inform(task="weather")	inform(in_city="*CITY")&inform(state="*STATE")&inform(task="weather")
ohio	*CITY	inform(state="Ohio")	inform(state="*STATE")
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
thank you	thank you	thankyou()	thankyou()
that's it	that's it	null()	null()
good bye	good bye	bye()	bye()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need a connection from fulton street manhattan to rockaway beach boulevard	i need a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long will the trip take	how long will the trip take	request(duration)	request(duration)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
how long will i be traveling	how long will i be traveling	request(distance)	request(distance)
what connection will i be in half an hour	what connection will i be in *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
when i reach my destination what will the time and weather be	when i reach my destination what will the time and weather be	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
yes i want to find a connection from fulton street manhattan to rockaway beach boulevard	yes i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")&affirm()	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")&affirm()
how long is the ride	how long is the ride	request(distance)	request(distance)
how many transfers and the distance of this trip	how many transfers and the distance of this trip	request(num_transfers)&request(distance)	request(num_transfers)&request(distance)
how many transfers and distance of this trip	how many transfers and distance of this trip	request(num_transfers)&request(distance)	request(num_transfers)&request(distance)
what is the weather forecast of rockaway beach tomorrow	what is the weather forecast of *CITY *DATE_REL	inform(city="Rockaway Beach")&inform(date_rel="tomorrow")&inform(task="weather")	inform(city="*CITY")&inform(date_rel="*DATE_REL")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need to find a connection from fulton street manhattan to rockaway beach boulevard	i need to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long is the trip	how long is the trip	request(duration)&request(distance)	request(duration)&request(distance)
how many transfers	how many transfers	request(num_transfers)	request(num_transfers)
ok and i need to find out the connection in a half an hour	ok and i need to find out the connection in a *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")&ack()	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")&ack()
_noise_	_noise_	null()	null()
and what is the forecast in queens new york	and what is the forecast in *BOROUGH *CITY	inform(in_borough="Queens")&inform(in_city="New York")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(in_city="*CITY")&inform(task="weather")
at ten thirty	at *NUMBER *NUMBER	inform(time="10:30")	inform(time="*TIME")
what is the weather forecast in queens new york	what is the weather forecast in *BOROUGH *CITY	inform(in_borough="Queens")&inform(in_city="New York")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(in_city="*CITY")&inform(task="weather")
and how many transfers	and how many transfers	request(num_transfers)	request(num_transfers)
and what is the connection in an half an hour	and what is the connection in an *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long is it how many transfers and what is the distance of	how long is it how many transfers and what is the distance of	request(num_transfers)&request(distance)	request(num_transfers)&request(distance)
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
how many transfers	how many transfers	request(num_transfers)	request(num_transfers)
but i want to go by bus	but i want to go by *VEHICLE	inform(vehicle="bus")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
okay what time is it now	okay what time is it *TIME	inform(time_rel="now")&ack()&request(current_time)	inform(time_rel="*TIME_REL")&ack()&request(current_time="*CURRENT_TIME")
what is the weather like	what is the weather like	inform(task="weather")	inform(task="weather")
can you repeat that	can you repeat that	repeat()	repeat()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
fulton street manhattan to rockaway beach boulevard	*STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
i want to find a connection	i want to find a connection	inform(task="find_connection")	inform(task="find_connection")
i want to find a connection	i want to find a connection	inform(task="find_connection")	inform(task="find_connection")
fulton street man	*STREET man	inform(street="Fulton St")	inform(street="*STREET")
_noise_	_noise_	null()	null()
fulton street manhattan to rockaway beach boulevard	*STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
how long will that take	how long will that take	request(duration)	request(duration)
how many transfers	how many transfers	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
in manhattan	in *BOROUGH	inform(in_borough="Manhattan")	inform(in_borough="*BOROUGH")
what is the weather going	what is the weather going	inform(task="weather")	inform(task="weather")
to be like in manhattan	to be like in *BOROUGH	inform(in_borough="Manhattan")	inform(in_borough="*BOROUGH")
and what time is it in manhattan	and what time is it in *BOROUGH	inform(in_borough="Manhattan")&request(current_time)	inform(in_borough="*BOROUGH")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
fulton street manhattan to rockaway beach boulevard	*STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
dura duration of trip	dura duration of trip	null()	null()
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
distance of the trip	distance of the trip	request(distance)	request(distance)
connection in half an hour	connection in *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need to find a connection from fulton street manhattan	i need to find a connection from *STREET *BOROUGH	inform(from_street="Fulton St")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
to rockaway beach boulevard	to *STREET	inform(to_street="Rockaway Beach Blvd")	inform(to_street="*STREET")
what	what	null()	null()
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
in queens	in *BOROUGH	inform(in_borough="Queens")	inform(in_borough="*BOROUGH")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you	thank you	thankyou()	thankyou()
thank you	thank you	thankyou()	thankyou()
_noise_	_noise_	null()	null()
i need to find a connection from fulton street manhattan to rockaway beach boulevard	i need to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long is the duration of this trip	how long is the duration of this trip	request(duration)	request(duration)
what is the number of transfers	what is the number of transfers	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the connection in half an hour	what is the connection in *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
what is the duration of this trip	what is the duration of this trip	request(duration)	request(duration)
what is the duration of this trip	what is the duration of this trip	request(duration)	request(duration)
what is the duration of this trip	what is the duration of this trip	request(duration)	request(duration)
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
and manhattan	and *BOROUGH	inform(borough="Manhattan")	inform(borough="*BOROUGH")
what is the weather forecast in manhattan	what is the weather forecast in *BOROUGH	inform(in_borough="Manhattan")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you	thank you	thankyou()	thankyou()
hello	hello	hello()	hello()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
connection	connection	inform(task="find_connection")	inform(task="find_connection")
rockaway beach boulevard	*STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
fulton street manhattan	*STREET *BOROUGH	inform(street="Fulton St")&inform(borough="Manhattan")	inform(street="*STREET")&inform(borough="*BOROUGH")
how long will it take	how long will it take	request(duration)	request(duration)
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
what is the distance	what is the distance	request(distance)	request(distance)
what is the distance	what is the distance	request(distance)	request(distance)
_noise_	_noise_	null()	null()
what is the distance	what is the distance	request(distance)	request(distance)
weather forecast for las vegas	weather forecast for *CITY	inform(in_city="Las Vegas")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
nevada	*CITY	inform(state="Nevada")	inform(state="*STATE")
yes	yes	affirm()	affirm()
weather forecast for las vegas	weather forecast for *CITY	inform(in_city="Las Vegas")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
yes	yes	affirm()	affirm()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
validation code	validation code	null()	null()
rockaway beach boulevard	*STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
fulton street manhattan	*STREET *BOROUGH	inform(street="Fulton St")&inform(borough="Manhattan")	inform(street="*STREET")&inform(borough="*BOROUGH")
what is the duration	what is the duration	request(duration)	request(duration)
duration	duration	null()	null()
could i get the duration	could i get the duration	request(duration)	request(duration)
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
distance of the trip	distance of the trip	request(distance)	request(distance)
distance of the trip	distance of the trip	request(distance)	request(distance)
what is the duration	what is the duration	request(duration)	request(duration)
weather forecast for columbus ohio	weather forecast for *CITY *CITY	inform(in_city="Columbus")&inform(state="Ohio")&inform(task="weather")	inform(in_city="*CITY")&inform(state="*STATE")&inform(task="weather")
ohio	*CITY	inform(state="Ohio")	inform(state="*STATE")
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
about how long does it take	about how long does it take	request(duration)	request(duration)
what are the number of transfers	what are the number of transfers	request(num_transfers)	request(num_transfers)
what's the distance of the trip	what's the distance of the trip	request(distance)	request(distance)
what's the connect connection in half an hour	what's the connect connection in *NUMBER an hour	inform(departure_time_rel="0:30")&inform(task="find_connection")	inform(departure_time_rel="*DEPARTURE_TIME_REL")&inform(task="find_connection")
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
in manhattan	in *BOROUGH	inform(in_borough="Manhattan")	inform(in_borough="*BOROUGH")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
what is the time	what is the time	request(current_time)	request(current_time="*CURRENT_TIME")
and uh rockaway beach boulevard	and uh *STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
hello	hello	hello()	hello()
yeah they hung up when you said good bye	yeah they hung up when you said good bye	bye()&affirm()	bye()&affirm()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you bye	thank you bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
what is duration	what is duration	request(duration)	request(duration)
duration of trip	duration of trip	null()	null()
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
distance of the trip	distance of the trip	request(distance)	request(distance)
what is the connection	what is the connection	inform(task="find_connection")	inform(task="find_connection")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
what's the weather forecast for crystal lake illinois	what's the weather forecast for *CITY *STATE	inform(in_city="Crystal Lake")&inform(state="Illinois")&inform(task="weather")	inform(in_city="*CITY")&inform(state="*STATE")&inform(task="weather")
_noise_	_noise_	null()	null()
beach boulevard	*CITY *STREET	inform(street="Boulevard")&inform(city="Beach")	inform(street="*STREET")&inform(city="*CITY")
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
in manhattan new york	in *BOROUGH *CITY	inform(in_borough="Manhattan")&inform(in_city="New York")	inform(in_borough="*BOROUGH")&inform(in_city="*CITY")
what is the weather forecast in manhattan	what is the weather forecast in *BOROUGH	inform(in_borough="Manhattan")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
what is the time in manhattan	what is the time in *BOROUGH	inform(in_borough="Manhattan")&request(current_time)	inform(in_borough="*BOROUGH")&request(current_time="*CURRENT_TIME")
what is the code for this phone call	what is the code for this phone *CITY	null()	null()
can you repeat that	can you repeat that	repeat()	repeat()
yes	yes	affirm()	affirm()
yes we do what is the code	yes we do what is the code	affirm()	affirm()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
directions	directions	inform(task="find_connection")	inform(task="find_connection")
so i want to find a connection from fulton street	so i want to find a connection from *STREET	inform(from_street="Fulton St")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
_noise_	_noise_	null()	null()
from fulton street manhattan to rockaway beach	from *STREET *BOROUGH to *CITY	inform(from_street="Fulton St")&inform(from_borough="Manhattan")&inform(to_city="Rockaway Beach")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(to_city="*CITY")
from	from	null()	null()
from fulton street manhattan to rockaway beach boulevard	from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")
_noise_	_noise_	null()	null()
what is the duration	what is the duration	request(duration)	request(duration)
what is the duration of the trip	what is the duration of the trip	request(duration)	request(duration)
how many transfers	how many transfers	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
and the connection	and the connection	inform(task="find_connection")	inform(task="find_connection")
a forecast of the weather and time in manhattan	a forecast of the weather and time in *BOROUGH	inform(in_borough="Manhattan")&inform(task="weather")	inform(in_borough="*BOROUGH")&inform(task="weather")
can i get the weather forecast and the time in manhattan	can i get the weather forecast and the time in *BOROUGH	inform(in_borough="Manhattan")&inform(task="weather")&request(current_time)	inform(in_borough="*BOROUGH")&inform(task="weather")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to find a connection from fulton street manhattan to rockaway beach boulevard	i want to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long is it	how long is it	request(distance)	request(distance)
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
this is a trip	this is a trip	null()	null()
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the connection	what is the connection	inform(task="find_connection")	inform(task="find_connection")
what is the connection	what is the connection	inform(task="find_connection")	inform(task="find_connection")
what is the weather forecast	what is the weather forecast	inform(task="weather")	inform(task="weather")
what is the time	what is the time	request(current_time)	request(current_time="*CURRENT_TIME")
in manhattan	in *BOROUGH	inform(in_borough="Manhattan")	inform(in_borough="*BOROUGH")
yes	yes	affirm()	affirm()
what is the time in new york	what is the time in *CITY	inform(in_city="New York")&request(current_time)	inform(in_city="*CITY")&request(current_time="*CURRENT_TIME")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hello	hello	hello()	hello()
hello	hello	hello()	hello()
what is the connection from fulton street in manhattan to rockaway beach boulevard how long does it take number of transfers hello fulton street in manhattan to rockaway beach boulevard	what is the connection from *STREET in *BOROUGH to *STREET how long does it take number of transfers hello *STREET in *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(in_borough="Manhattan")&inform(task="find_connection")&hello()&request(num_transfers)&request(duration)	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(in_borough="*BOROUGH")&inform(task="find_connection")&hello()&request(num_transfers)&request(duration)
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
rockaway beach boulevard	*STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
fulton street manhattan	*STREET *BOROUGH	inform(street="Fulton St")&inform(borough="Manhattan")	inform(street="*STREET")&inform(borough="*BOROUGH")
how long does it take	how long does it take	request(duration)	request(duration)
how many transfers	how many transfers	request(num_transfers)	request(num_transfers)
what is the distance of the trip	what is the distance of the trip	request(distance)	request(distance)
what is the weather like in baltimore	what is the weather like in *CITY	inform(in_city="Baltimore")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
maryland	*CITY	inform(state="Maryland")	inform(state="*STATE")
what's the weather in new york city	what's the weather in *CITY	inform(in_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(task="weather")
what is the weather	what is the weather	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i want to make a connection	i want to make a connection	inform(task="find_connection")	inform(task="find_connection")
rockaway beach boulevard	*STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
from fulton street manhattan	from *STREET *BOROUGH	inform(from_street="Fulton St")&inform(from_borough="Manhattan")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
fulton street manhattan	*STREET *BOROUGH	inform(street="Fulton St")&inform(borough="Manhattan")	inform(street="*STREET")&inform(borough="*BOROUGH")
yes	yes	affirm()	affirm()
how long will it take	how long will it take	request(duration)	request(duration)
can you give me the weather forecast and time	can you give me the weather forecast and time	inform(task="weather")	inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
cold	cold	null()	null()
hello	hello	hello()	hello()
_noise_	_noise_	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
make a connection	make a connection	inform(task="find_connection")	inform(task="find_connection")
i wanna find a connection from fulton street manhattan to rockway beach boulevard	i wanna find a connection from *STREET *BOROUGH to rockway *CITY *STREET	inform(from_street="Fulton St")&inform(to_street="Boulevard")&inform(from_borough="Manhattan")&inform(to_city="Beach")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(to_city="*CITY")&inform(task="find_connection")
can i get a connection from fulton street manhattan to rockaway beach boulevard	can i get a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
what is the weather in mckinley illinois	what is the weather in mckinley *STATE	inform(in_state="Illinois")&inform(task="weather")	inform(in_state="*STATE")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
this mother fucking dog was just downstairs	this mother fucking dog was just downstairs	null()	null()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from prosper avenue and monument street	i want to go from *CITY *CITY and *CITY street	inform(from_city="Prosper")&inform(to_city="Avenue")&inform(city="Monument")&inform(task="find_connection")	inform(from_city="*CITY")&inform(to_city="*CITY")&inform(city="*CITY")&inform(task="find_connection")
i want to go to central park	i want to go to *STOP	inform(to_stop="Central Park")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(task="find_connection")
_noise_	_noise_	null()	null()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
yes	yes	affirm()	affirm()
how long does it take	how long does it take	request(duration)	request(duration)
_noise_	_noise_	null()	null()
weather in congers new york	weather in *CITY *CITY	inform(in_city="Congers")&inform(to_city="New York")&inform(task="weather")	inform(in_city="*CITY")&inform(to_city="*CITY")&inform(task="weather")
forecast for tomorrow in congress new york	forecast for *DATE_REL in *CITY *CITY	inform(in_city="Congress")&inform(to_city="New York")&inform(date_rel="tomorrow")	inform(in_city="*CITY")&inform(to_city="*CITY")&inform(date_rel="*DATE_REL")
congress new york	*CITY *CITY	inform(from_city="Congress")&inform(to_city="New York")	inform(from_city="*CITY")&inform(to_city="*CITY")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
central park	*STOP	inform(stop="Central Park")	inform(stop="*STOP")
i need to find a connection from fulton street manhattan to rockaway beach boulevard	i need to find a connection from *STREET *BOROUGH to *STREET	inform(from_street="Fulton St")&inform(to_street="Rockaway Beach Blvd")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
what is the duration of the trip	what is the duration of the trip	request(duration)	request(duration)
number of transfers	number of transfers	request(num_transfers)	request(num_transfers)
the distance of the trip	the distance of the trip	request(distance)	request(distance)
distance of the trip	distance of the trip	request(distance)	request(distance)
what is the weather like in broad channel	what is the weather like in *STOP	inform(to_stop="Broad Channel")&inform(task="weather")	inform(to_stop="*STOP")&inform(task="weather")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
connection from fulton street manhattan	connection from *STREET *BOROUGH	inform(from_street="Fulton St")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
to rockaway beach boulevard	to *STREET	inform(to_street="Rockaway Beach Blvd")	inform(to_street="*STREET")
what is the	what is the	null()	null()
duration number of transfers and distance	duration number of transfers and distance	request(num_transfers)&request(distance)	request(num_transfers)&request(distance)
number of	number of	null()	null()
number of transfers and distance of the trip	number of transfers and distance of the trip	request(num_transfers)&request(distance)	request(num_transfers)&request(distance)
in half an hour	in *NUMBER an hour	inform(time_rel="0:30")	inform(time_rel="*TIME_REL")
weather forecast	weather forecast	inform(task="weather")	inform(task="weather")
illinois	*STATE	inform(state="Illinois")	inform(state="*STATE")
south arkana forecast	south arkana forecast	null()	null()
dialog code validation field	dialog code validation field	null()	null()
dialog code	dialog code	null()	null()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
i'd like to get a connection from fulton street manhattan to	i'd like to get a connection from *STREET *BOROUGH to	inform(from_street="Fulton St")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
rockaway beach boulevard	*STREET	inform(street="Rockaway Beach Blvd")	inform(street="*STREET")
and what's the duration of that	and what's the duration of that	request(duration)	request(duration)
how long will it take	how long will it take	request(duration)	request(duration)
ok and how many transfers will i need	ok and how many transfers will i need	ack()&request(num_transfers)	ack()&request(num_transfers)
uh what is the distance of that trip	uh what is the distance of that trip	request(distance)	request(distance)
and what will the weather forecast be	and what will the weather forecast be	inform(task="weather")	inform(task="weather")
thank you	thank you	thankyou()	thankyou()
that's all thank you good bye	that's all thank you good bye	bye()&thankyou()	bye()&thankyou()
